Table 33 : GDP and its main expenditure components in chained (2020) dollars,,,,,,,,,,,,,,,,,,
https://www.censtatd.gov.hk/en/web_table.html?id=33#,,,,,,,,,,,,,,,,,,
,,In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1)
,,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change
GDP expenditure component,,GDP,Private consumption expenditure,Government consumption expenditure,Gross domestic fixed capital formation,Changes in inventories,Exports of goods (f.o.b.) (2),Exports of services (2),Imports of goods (f.o.b.) (2),Imports of services (2),GDP,Private consumption expenditure,Government consumption expenditure,Gross domestic fixed capital formation,Exports of goods (f.o.b.) (2),Exports of services (2),Imports of goods (f.o.b.) (2),Imports of services (2)
Year,Quarter,,,,,,,,,,,,,,,,,
1996,Q1,332165,232345,41917,95690,3505,307921,68629,324185,79307,2.5,2.6,2.4,7.8,7.4,8.6,6.4,8
1996,Q2,344184,230637,42088,103091,14429,336981,69637,357900,80354,3.6,2.1,4.7,8.3,5.2,8.4,1.7,9.1
1996,Q3,366601,238123,43316,101270,1742,373756,71606,359329,93237,4.8,4.6,4.5,6.8,4.1,8.4,1.6,5.3
1996,Q4,375991,258082,43179,113480,-3636,360381,74416,369616,88405,6,5.4,4.7,19.7,6.6,10.9,6.1,15.1
1997,Q1,351612,241211,44038,112020,7424,323450,69920,351031,81416,5.9,3.8,5.1,17.1,5,1.9,8.3,2.7
1997,Q2,369920,249177,44983,117783,8649,368100,68986,390485,84756,7.5,8,6.9,14.3,9.2,-0.9,9.1,5.5
1997,Q3,389599,257691,43261,115670,12910,405658,66920,395594,103930,6.3,8.2,-0.1,14.2,8.5,-6.5,10.1,11.5
1997,Q4,380172,264244,43110,124645,-9743,397975,65552,402696,94759,1.1,2.4,-0.2,9.8,10.4,-11.9,8.9,7.2
1998,Q1,342219,237197,45229,111067,-3487,330852,61084,339851,89005,-2.7,-1.7,2.7,-0.9,2.3,-12.6,-3.2,9.3
1998,Q2,347787,239515,42375,120190,-602,357064,60147,371414,90785,-6,-3.9,-5.8,2,-3,-12.8,-4.9,7.1
1998,Q3,357382,236366,45199,102519,-4432,370983,64084,337305,107793,-8.3,-8.3,4.5,-11.4,-8.5,-4.2,-14.7,3.7
1998,Q4,356186,243603,44549,101582,-17288,359759,66687,334305,98576,-6.3,-7.8,3.3,-18.5,-9.6,1.7,-17,4
1999,Q1,331798,227982,47124,90738,-12319,306894,64227,293093,87194,-3,-3.9,4.2,-18.3,-7.2,5.1,-13.8,-2
1999,Q2,349341,241885,43872,91436,-7933,344766,64619,327783,89322,0.4,1,3.5,-23.9,-3.4,7.4,-11.7,-1.6
1999,Q3,371683,242869,45330,90810,1053,394423,72568,351910,108583,4,2.8,0.3,-11.4,6.3,13.2,4.3,0.7
1999,Q4,385936,253947,47192,91250,2677,401263,76220,369293,100755,8.4,4.2,5.9,-10.2,11.5,14.3,10.5,2.2
2000,Q1,367230,242658,48990,92228,6862,371310,71103,359788,90654,10.7,6.4,4,1.6,21,10.7,22.8,4
2000,Q2,375243,253313,45228,93505,6682,411251,72420,396490,97251,7.4,4.7,3.1,2.3,19.3,12.1,21,8.9
2000,Q3,398529,251252,46727,103354,5368,473843,77977,426935,121048,7.2,3.5,3.1,13.8,20.1,7.5,21.3,11.5
2000,Q4,408015,263113,47063,103836,3019,459214,78519,429861,103598,5.7,3.6,-0.3,13.8,14.4,3,16.4,2.8
2001,Q1,374757,250854,51868,101404,1419,387675,74355,384204,95063,2,3.4,5.9,9.9,4.4,4.6,6.8,4.9
2001,Q2,379373,260389,47574,96237,2551,408363,76545,398519,100113,1.1,2.8,5.2,2.9,-0.7,5.7,0.5,2.9
2001,Q3,399002,253457,50138,106612,-4404,454416,78901,416312,112524,0.1,0.9,7.3,3.2,-4.1,1.2,-2.5,-7
2001,Q4,404572,259785,50333,99488,-6878,434377,80132,390655,108073,-0.8,-1.3,6.9,-4.2,-5.4,2.1,-9.1,4.3
2002,Q1,372579,252992,53138,89917,-2734,377572,77062,366263,94394,-0.6,0.9,2.4,-11.3,-2.6,3.6,-4.7,-0.7
2002,Q2,381255,254758,49242,95771,2914,426391,82212,421616,96023,0.5,-2.2,3.5,-0.5,4.4,7.4,5.8,-4.1
2002,Q3,408391,250510,52084,102377,3220,513470,87864,469404,120752,2.4,-1.2,3.9,-4,13,11.4,12.8,7.3
2002,Q4,421285,255505,51185,99967,6461,508330,92805,468012,111961,4.1,-1.6,1.7,0.5,17,15.8,19.8,3.6
2003,Q1,387010,242285,53939,94804,6096,453442,85922,444776,93290,3.9,-4.2,1.5,5.4,20.1,11.5,21.4,-1.2
2003,Q2,379109,242900,49731,91939,2327,487648,68902,473489,84228,-0.6,-4.7,1,-4,14.4,-16.2,12.3,-12.3
2003,Q3,424685,249771,52719,103767,-2724,570786,95032,518427,119951,4,-0.3,1.2,1.4,11.2,8.2,10.4,-0.7
2003,Q4,441103,263022,54148,103399,8935,585229,101479,555677,111066,4.7,2.9,5.8,3.4,15.1,9.3,18.7,-0.8
2004,Q1,417615,257238,57236,99136,17211,528431,99618,527993,102277,7.9,6.2,6.1,4.6,16.5,15.9,18.7,9.6
2004,Q2,425081,268939,50097,100985,13934,584003,98744,580641,104351,12.1,10.7,0.7,9.8,19.8,43.3,22.6,23.9
2004,Q3,454017,263008,52477,104911,-4046,653107,108855,594947,126105,6.9,5.3,-0.5,1.1,14.4,14.5,14.8,5.1
2004,Q4,477171,279921,53646,102098,-15077,659634,110712,591261,120955,8.2,6.4,-0.9,-1.3,12.7,9.1,6.4,8.9
2005,Q1,444244,265862,55161,101440,-6771,583260,111101,548205,112803,6.4,3.4,-3.6,2.3,10.4,11.5,3.8,10.3
2005,Q2,456121,275455,49211,106355,-3719,657447,108914,623588,112575,7.3,2.4,-1.8,5.3,12.6,10.3,7.4,7.9
2005,Q3,491883,273433,51759,107483,1121,749222,120378,665380,143456,8.3,4,-1.4,2.5,14.7,10.6,11.8,13.8
2005,Q4,512694,292242,51842,108234,2223,736365,122197,668017,130427,7.4,4.4,-3.4,6,11.6,10.4,13,7.8
2006,Q1,484241,282274,56216,108243,-1343,667333,122297,621362,125632,9,6.2,1.9,6.7,14.4,10.1,13.3,11.4
2006,Q2,483967,295383,48857,110735,-503,697388,120815,660057,126252,6.1,7.2,-0.7,4.1,6.1,10.9,5.8,12.1
2006,Q3,523315,285761,51778,118265,-3103,814977,130818,717572,155804,6.4,4.5,0,10,8.8,8.7,7.8,8.6
2006,Q4,547386,311052,52977,116203,2833,825648,134089,741900,151718,6.8,6.4,2.2,7.4,12.1,9.7,11.1,16.3
2007,Q1,512685,298276,58003,108338,1444,700963,144192,664635,132175,5.9,5.7,3.2,0.1,5,17.9,7,5.2
2007,Q2,513836,318218,50688,117452,5556,770429,136677,741019,141155,6.2,7.7,3.7,6.1,10.5,13.1,12.3,11.8
2007,Q3,558419,317989,53049,116881,300,870613,153883,790593,162834,6.7,11.3,2.5,-1.2,6.8,17.6,10.2,4.5
2007,Q4,585781,341557,54722,125108,11968,869944,153894,814686,154898,7,9.8,3.3,7.7,5.4,14.8,9.8,2.1
2008,Q1,548755,323451,58231,121384,-1105,776096,157432,738960,146422,7,8.4,0.4,12,10.7,9.2,11.2,10.8
2008,Q2,534412,329348,52304,125312,4472,809115,146547,792425,139158,4,3.5,3.2,6.7,5,7.2,6.9,-1.4
2008,Q3,563692,318188,54291,122134,2661,877268,159317,808652,160809,0.9,0.1,2.3,4.5,0.8,3.5,2.3,-1.2
2008,Q4,570054,329291,56021,105450,5352,853581,154464,783291,151216,-2.7,-3.6,2.4,-15.7,-1.9,0.4,-3.9,-2.4
2009,Q1,506146,303951,59032,106814,-8456,604925,150728,597146,114936,-7.8,-6,1.4,-12,-22.1,-4.3,-19.2,-21.5
2009,Q2,517975,329959,53662,109658,-8410,731929,142652,720593,122385,-3.1,0.2,2.6,-12.5,-9.5,-2.7,-9.1,-12.1
2009,Q3,554139,321646,56118,124180,22001,777122,164474,765377,142926,-1.7,1.1,3.4,1.7,-11.4,3.2,-5.4,-11.1
2009,Q4,584138,347053,57165,117183,27731,828867,170352,823019,140114,2.5,5.4,2,11.1,-2.9,10.3,5.1,-7.3
2010,Q1,546278,326656,61286,115386,36696,736416,178485,774623,130159,7.9,7.5,3.8,8,21.7,18.4,29.7,13.2
2010,Q2,551014,342619,55502,126407,12354,875580,167779,891838,138966,6.4,3.8,3.4,15.3,19.6,17.6,23.8,13.5
2010,Q3,590275,338038,58208,124360,-7017,953387,191016,918154,155057,6.5,5.1,3.7,0.1,22.7,16.1,20,8.5
2010,Q4,621175,374938,58557,126895,10002,908097,187113,899250,148380,6.3,8,2.4,8.3,9.6,9.8,9.3,5.9
2011,Q1,587824,352889,63164,121152,10630,870429,189055,886458,136054,7.6,8,3.1,5,18.2,5.9,14.4,4.5
2011,Q2,579117,377867,56531,138074,7300,880870,180386,926384,135982,5.1,10.3,1.9,9.2,0.6,7.5,3.9,-2.1
2011,Q3,613419,370404,59289,141178,-3971,939162,200091,945323,151523,3.9,9.6,1.9,13.5,-1.5,4.8,3,-2.3
2011,Q4,639541,397099,60300,143083,785,943887,195867,957845,147817,3,5.9,3,12.8,3.9,4.7,6.5,-0.4
2012,Q1,592582,375942,65100,133094,2580,841648,196948,881997,140794,0.8,6.5,3.1,9.9,-3.3,4.2,-0.5,3.5
2012,Q2,584832,391251,58829,143444,-141,901169,186195,956989,137407,1,3.5,4.1,3.9,2.3,3.2,3.3,1
2012,Q3,624313,380612,61686,148565,-7324,999234,199703,1009042,153187,1.8,2.8,4,5.2,6.4,-0.2,6.7,1.1
2012,Q4,659320,411923,62188,155273,1269,1012430,203396,1037992,152761,3.1,3.7,3.1,8.5,7.3,3.8,8.4,3.3
2013,Q1,612962,401449,66603,127401,7869,921366,205002,978413,137492,3.4,6.8,2.3,-4.3,9.5,4.1,10.9,-2.3
2013,Q2,602816,410823,60925,153625,-9197,970862,201212,1050657,133319,3.1,5,3.6,7.1,7.7,8.1,9.8,-3
2013,Q3,643488,391687,63371,151232,-1001,1079620,211064,1108091,148439,3.1,2.9,2.7,1.8,8,5.7,9.8,-3.1
2013,Q4,678111,427828,63606,162998,1066,1090904,215759,1134319,152471,2.9,3.9,2.3,5,7.8,6.1,9.3,-0.2
2014,Q1,631117,410118,68295,133835,5942,930633,217577,1005145,131615,3,2.2,2.5,5.1,1,6.1,2.7,-4.3
2014,Q2,616088,419688,62504,144259,6820,995384,197136,1073810,133818,2.2,2.2,2.6,-6.1,2.5,-2,2.2,0.4
2014,Q3,664278,410758,65644,147387,-4932,1081147,214878,1108859,146596,3.2,4.9,3.6,-2.5,0.1,1.8,0.1,-1.2
2014,Q4,695987,445721,65859,169099,553,1089707,216897,1146655,147347,2.6,4.2,3.5,3.7,-0.1,0.5,1.1,-3.4
2015,Q1,645970,430277,71029,139851,-6268,936296,220495,1007262,139559,2.4,4.9,4,4.5,0.6,1.3,0.2,6
2015,Q2,635130,449214,64779,148545,-8676,955998,202777,1035985,140036,3.1,7,3.6,3,-4,2.9,-3.5,4.6
2015,Q3,679421,429019,67470,136633,-8017,1048581,216478,1062426,153131,2.3,4.4,2.8,-7.3,-3,0.7,-4.2,4.5
2015,Q4,709211,458067,68004,150634,1553,1085282,209570,1112926,154356,1.9,2.8,3.3,-10.9,-0.4,-3.4,-2.9,4.8
2016,Q1,653392,437170,73287,129024,-3172,901325,207917,947515,145674,1.1,1.6,3.2,-7.7,-3.7,-5.7,-5.9,4.4
2016,Q2,646602,450035,67210,140022,1349,977685,189985,1039655,140480,1.8,0.2,3.8,-5.7,2.3,-6.3,0.4,0.3
2016,Q3,694800,437906,69862,146371,422,1072618,210264,1091834,154573,2.3,2.1,3.5,7.1,2.3,-2.9,2.8,0.9
2016,Q4,733016,476881,70256,159592,1871,1137271,211260,1169463,158086,3.4,4.1,3.3,5.9,4.8,0.8,5.1,2.4
2017,Q1,682545,453365,74971,137067,3887,991329,213937,1046729,147096,4.5,3.7,2.3,6.2,10,2.9,10.5,1
2017,Q2,671612,475812,69016,149654,1663,1033504,193007,1104784,147557,3.9,5.7,2.7,6.9,5.7,1.6,6.3,5
2017,Q3,718986,465008,72382,142142,540,1142175,216355,1165950,156933,3.5,6.2,3.6,-2.9,6.5,2.9,6.8,1.5
2017,Q4,758218,506875,72211,164115,6609,1185685,218745,1239936,159450,3.4,6.3,2.8,2.8,4.3,3.5,6,0.9
2018,Q1,713419,492735,78062,143697,-2910,1040135,229983,1116283,153695,4.5,8.7,4.1,4.8,4.9,7.5,6.6,4.5
2018,Q2,694109,503158,72109,151767,2612,1080469,203440,1172253,149108,3.3,5.7,4.5,1.4,4.5,5.4,6.1,1.1
2018,Q3,737756,486078,74788,153588,13457,1199043,221905,1253497,161537,2.6,4.5,3.3,8.1,5,2.6,7.5,2.9
2018,Q4,766684,519668,75860,153943,-1133,1183905,225717,1230634,163619,1.1,2.5,5.1,-6.2,-0.2,3.2,-0.8,2.6
2019,Q1,715586,497019,81562,132638,-5520,991943,230489,1058922,155292,0.3,0.9,4.5,-7.7,-4.6,0.2,-5.1,1
2019,Q2,694632,511264,74865,130174,-1158,1013835,202867,1082537,155611,0.1,1.6,3.8,-14.2,-6.2,-0.3,-7.7,4.4
2019,Q3,714038,471556,79540,126364,-1400,1107117,191765,1103401,158987,-3.2,-3,6.4,-17.7,-7.7,-13.6,-12,-1.6
2019,Q4,738842,505838,80101,123754,5378,1145131,170923,1134247,158831,-3.6,-2.7,5.6,-19.6,-3.3,-24.3,-7.8,-2.9
2020,Q1 r,649133,440612,89290,111627,23975,884875,152441,930706,121755,-9.3,-11.3,9.5,-15.8,-10.8,-33.9,-12.1,-21.6
2020,Q2 r,629244,437506,82154,102438,1105,979914,113617,997866,90448,-9.4,-14.4,9.7,-21.3,-3.3,-44,-7.8,-41.9
2020,Q3 r,685114,430761,85045,113828,4318,1138209,129716,1112512,105206,-4.1,-8.7,6.9,-9.9,2.8,-32.4,0.8,-33.8
2020,Q4 r,712217,468658,84442,125974,22610,1195340,123173,1198579,108848,-3.6,-7.4,5.4,1.8,4.4,-27.9,5.7,-31.5
2021,Q1 r,700822,450658,94926,117688,-2099,1155746,139717,1147585,108229,8,2.3,6.3,5.4,30.6,-8.3,23.3,-11.1
2021,Q2 r,676798,469643,84493,126840,11437,1181049,118102,1214578,100188,7.6,7.3,2.8,23.8,20.5,3.9,21.7,10.8
2021,Q3 r,722378,458657,89420,128654,18942,1299663,137236,1298762,111432,5.4,6.5,5.1,13,14.2,5.8,16.7,5.9
2021,Q4 r,745433,493715,87872,125188,-18295,1356348,131615,1317259,113751,4.7,5.3,4.1,-0.6,13.5,6.9,9.9,4.5
2022,Q1 r,672617,425929,100575,107840,-17027,1103459,135835,1079425,104569,-4,-5.5,6,-8.4,-4.5,-2.8,-5.9,-3.4
,,,,,,,,,,,,,,,,,,
Note(s) :,,,,,,,,,,,,,,,,,,
Figures in this table are the latest data released on 13 May 2022.,,,,,,,,,,,,,,,,,,
"In Hong Kong, the first released figures on GDP by expenditure component in respect of a period are called ""advance estimates"". When more data become available, the figures will be revised. All those figures published subsequently, after the advance estimates, are called ""revised figures"". These ""revised figures"" are still subject to further regular revision later on when more data are incorporated. This routine revision is in accordance with the international practice to compile and release GDP figures at the earliest possible time by using only partial data. In general, the figures are finalised when finalised data from all regular sources are incorporated.",,,,,,,,,,,,,,,,,,
"The chained (2020) dollar series is derived by extrapolation of the current price value for the reference year (2020) backward and forward using the chain volume index as the extrapolator. As the extrapolation process is carried out for GDP and its components independently in calculating the chained dollar series, discrepancies may exist between the chain volume measure of GDP and the sum of the chain volume measures of its components.",,,,,,,,,,,,,,,,,,
"The GDP for 2022 is forecast to increase by 1% to 2% in real terms. For more information on the forecast of GDP, please visit the website of the Office of the Government Economist.",,,,,,,,,,,,,,,,,,
'0.0'   Increase or decrease of less than 0.05%,,,,,,,,,,,,,,,,,,
"1 The reference year for the chain volume measures of GDP and its components has been revised from 2019 to 2020. Re-referencing affects the levels, but not the rates of change, of the chain volume measures. Apart from re-referencing, the volume estimates for 2021 previously valued at 2019 prices have also been revalued at 2020 prices. This rebasing of the volume measures affects the real growth rates of the annual and quarterly GDP for 2021.",,,,,,,,,,,,,,,,,,
2 Figures are compiled based on the change of ownership principle in recording goods sent abroad for processing and merchanting under the standards stipulated in the System of National Accounts 2008.  Users should note that the figures of exports and imports of goods in this table are different from those published in external merchandise trade statistics which are not compiled based on the change of ownership principle.,,,,,,,,,,,,,,,,,,
N.A. Not available,,,,,,,,,,,,,,,,,,
r Revised figure,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source :,,,,,,,,,,,,,,,,,,
"National Income Section (1)1,",,,,,,,,,,,,,,,,,,
Census and Statistics Department,,,,,,,,,,,,,,,,,,
(Enquiry telephone no. : 2582 5077,,,,,,,,,,,,,,,,,,
Enquiry e-mail : gdp-e@censtatd.gov.hk),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Release Date: 13 May, 2022",,,,,,,,,,,,,,,,,,
